                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.0396,                 0.4697,                0.98764,                0.99931,                      1,                  0.995,                0.84842,                0.70473,                 0.2793,                0.84858,               0.004258,               0.004258,               0.004258
                     61,                 1.0383,                0.47032,                0.98739,                 0.9993,                      1,                  0.995,                0.84836,                0.70514,                0.27889,                0.84851,               0.004159,               0.004159,               0.004159
                     62,                 1.0336,                0.46639,                0.98557,                0.99928,                      1,                  0.995,                0.84871,                0.70475,                0.27881,                0.84834,                0.00406,                0.00406,                0.00406
                     63,                 1.0312,                0.46504,                 0.9863,                0.99928,                      1,                  0.995,                0.84827,                 0.7058,                0.27916,                0.84852,               0.003961,               0.003961,               0.003961
                     64,                 1.0303,                0.46362,                0.98496,                0.99929,                      1,                  0.995,                 0.8483,                0.70653,                0.27937,                 0.8487,               0.003862,               0.003862,               0.003862
                     65,                 1.0318,                0.46307,                0.98212,                0.99929,                      1,                  0.995,                0.84844,                0.70652,                0.27907,                0.84871,               0.003763,               0.003763,               0.003763
                     66,                 1.0274,                0.46281,                  0.982,                 0.9993,                      1,                  0.995,                0.84822,                 0.7071,                0.27923,                 0.8488,               0.003664,               0.003664,               0.003664
                     67,                  1.027,                0.46052,                0.98322,                0.99929,                      1,                  0.995,                 0.8481,                0.70752,                0.27936,                0.84886,               0.003565,               0.003565,               0.003565
                     68,                 1.0244,                0.45744,                0.98115,                 0.9993,                      1,                  0.995,                0.84803,                0.70809,                0.27945,                0.84895,               0.003466,               0.003466,               0.003466
                     69,                 1.0217,                0.45646,                0.98058,                0.99929,                      1,                  0.995,                0.84802,                0.70839,                0.27935,                0.84893,               0.003367,               0.003367,               0.003367
                     70,                 1.0225,                0.45534,                0.98096,                0.99929,                      1,                  0.995,                0.84797,                0.70879,                0.27924,                0.84895,               0.003268,               0.003268,               0.003268
                     71,                 1.0232,                0.45354,                0.98212,                0.99929,                      1,                  0.995,                0.84791,                0.70879,                0.27938,                0.84895,               0.003169,               0.003169,               0.003169
                     72,                 1.0191,                0.45298,                0.97908,                 0.9993,                      1,                  0.995,                0.84771,                0.70891,                0.27919,                0.84897,                0.00307,                0.00307,                0.00307
                     73,                 1.0163,                0.44994,                0.97787,                 0.9993,                      1,                  0.995,                 0.8479,                0.70847,                0.27897,                0.84883,               0.002971,               0.002971,               0.002971
                     74,                 1.0132,                0.45036,                0.97641,                0.99929,                      1,                  0.995,                0.84806,                0.70849,                0.27899,                0.84874,               0.002872,               0.002872,               0.002872
                     75,                 1.0157,                0.44712,                0.97738,                 0.9993,                      1,                  0.995,                0.84791,                0.70828,                0.27898,                0.84868,               0.002773,               0.002773,               0.002773
                     76,                 1.0098,                0.44639,                0.97633,                 0.9993,                      1,                  0.995,                0.84769,                0.70869,                0.27899,                0.84876,               0.002674,               0.002674,               0.002674
                     77,                 1.0089,                0.44221,                0.97507,                0.99931,                      1,                  0.995,                0.84731,                0.70928,                0.27904,                0.84884,               0.002575,               0.002575,               0.002575
                     78,                 1.0088,                0.44427,                0.97533,                0.99931,                      1,                  0.995,                0.84723,                0.70949,                0.27886,                0.84877,               0.002476,               0.002476,               0.002476
                     79,                 1.0047,                0.44037,                0.97488,                0.99931,                      1,                  0.995,                0.84713,                0.71042,                 0.2789,                0.84887,               0.002377,               0.002377,               0.002377
                     80,                 1.0047,                0.44002,                0.97403,                0.99932,                      1,                  0.995,                0.84685,                0.71089,                0.27885,                0.84894,               0.002278,               0.002278,               0.002278
                     81,                 1.0008,                0.43652,                0.97308,                0.99933,                      1,                  0.995,                0.84699,                0.71084,                0.27859,                0.84895,               0.002179,               0.002179,               0.002179
                     82,                  1.004,                0.43621,                0.97302,                0.99934,                      1,                  0.995,                0.84712,                0.71025,                0.27848,                0.84877,                0.00208,                0.00208,                0.00208
                     83,                0.99794,                0.43711,                0.97186,                0.99935,                      1,                  0.995,                0.84761,                0.70972,                0.27842,                0.84867,               0.001981,               0.001981,               0.001981
                     84,                0.99317,                  0.432,                0.97071,                0.99934,                      1,                  0.995,                0.84745,                0.70922,                0.27829,                0.84853,               0.001882,               0.001882,               0.001882
                     85,                0.99211,                0.43008,                 0.9697,                0.99934,                      1,                  0.995,                0.84751,                0.70975,                0.27849,                0.84846,               0.001783,               0.001783,               0.001783
                     86,                0.99111,                 0.4294,                0.97111,                0.99935,                      1,                  0.995,                0.84763,                0.70955,                 0.2782,                0.84838,               0.001684,               0.001684,               0.001684
                     87,                0.99334,                0.42893,                0.96871,                0.99935,                      1,                  0.995,                0.84762,                0.70974,                0.27822,                0.84835,               0.001585,               0.001585,               0.001585
                     88,                0.98458,                0.42391,                0.96636,                0.99936,                      1,                  0.995,                0.84736,                0.71056,                0.27852,                0.84848,               0.001486,               0.001486,               0.001486
                     89,                 0.9838,                 0.4242,                 0.9654,                0.99935,                      1,                  0.995,                0.84694,                0.71156,                0.27846,                0.84858,               0.001387,               0.001387,               0.001387
                     90,                0.98733,                0.42345,                0.96536,                0.99936,                      1,                  0.995,                0.84651,                0.71188,                0.27846,                0.84853,               0.001288,               0.001288,               0.001288
                     91,                 1.0105,                0.35614,                 1.0392,                0.99937,                      1,                  0.995,                0.84656,                0.71261,                0.27881,                0.84874,               0.001189,               0.001189,               0.001189
                     92,                 1.0012,                 0.3524,                 1.0354,                0.99939,                      1,                  0.995,                0.84657,                0.71313,                0.27883,                0.84883,                0.00109,                0.00109,                0.00109
                     93,                 0.9974,                0.34894,                 1.0312,                0.99939,                      1,                  0.995,                0.84651,                0.71337,                0.27901,                0.84893,               0.000991,               0.000991,               0.000991
                     94,                0.99512,                0.34801,                 1.0299,                 0.9994,                      1,                  0.995,                0.84636,                0.71349,                0.27889,                0.84896,               0.000892,               0.000892,               0.000892
                     95,                0.99338,                0.34606,                 1.0305,                 0.9994,                      1,                  0.995,                0.84632,                0.71391,                0.27883,                0.84902,               0.000793,               0.000793,               0.000793
                     96,                0.98472,                0.34378,                 1.0246,                0.99941,                      1,                  0.995,                0.84635,                0.71372,                0.27881,                0.84894,               0.000694,               0.000694,               0.000694
                     97,                0.98592,                0.34359,                 1.0268,                 0.9994,                      1,                  0.995,                0.84633,                0.71357,                0.27878,                0.84886,               0.000595,               0.000595,               0.000595
                     98,                0.98087,                0.34103,                 1.0253,                 0.9994,                      1,                  0.995,                0.84613,                0.71369,                0.27894,                0.84877,               0.000496,               0.000496,               0.000496
                     99,                0.97745,                0.33918,                 1.0232,                0.99939,                      1,                  0.995,                0.84631,                0.71424,                0.27901,                0.84875,               0.000397,               0.000397,               0.000397
                    100,                0.97542,                 0.3376,                  1.023,                0.99939,                      1,                  0.995,                0.84591,                 0.7153,                0.27902,                0.84881,               0.000298,               0.000298,               0.000298
